train epoch ,resampling ,running value loss ,running policy loss ,running p diff 
0,0,1.0022,1.79382,0.25471
0,10,0.57748,1.74763,0.25343
0,20,0.48463,1.73308,0.2515
0,30,0.45462,1.72928,0.25179
0,40,0.4618,1.71732,0.2499
0,50,0.45227,1.70119,0.24615
0,60,0.47941,1.67888,0.24067
0,70,0.48747,1.66049,0.23671
0,80,0.52346,1.64716,0.234
0,90,0.55386,1.6461,0.2338
0,100,0.56644,1.65658,0.2371
0,110,0.53628,1.67386,0.24178
0,120,0.5517,1.69161,0.24564
0,130,0.53961,1.70095,0.24854
0,140,0.52149,1.7037,0.25032
0,150,0.52389,1.6981,0.24962
0,160,0.52055,1.68224,0.24826
0,170,0.51617,1.66971,0.24752
0,180,0.50722,1.664,0.24572
0,190,0.49074,1.66103,0.24434
1,0,0.48047,1.66625,0.24497
1,10,0.52955,1.70645,0.24866
1,20,0.5816,1.73785,0.25162
1,30,0.63195,1.75168,0.25434
1,40,0.6801,1.75888,0.25644
1,50,0.72156,1.76258,0.25815
1,60,0.70546,1.73901,0.25674
1,70,0.67915,1.72112,0.25557
1,80,0.65251,1.71578,0.25469
1,90,0.62551,1.71681,0.25435
1,100,0.59539,1.71529,0.25365
1,110,0.56612,1.70714,0.25357
1,120,0.55335,1.69679,0.25313
1,130,0.55439,1.68935,0.25286
1,140,0.55297,1.68416,0.25233
1,150,0.55315,1.67836,0.25121
1,160,0.55467,1.67349,0.25
1,170,0.5524,1.67698,0.24853
1,180,0.54251,1.67538,0.24741
1,190,0.54025,1.67426,0.24715
2,0,0.54151,1.67749,0.24864
2,10,0.56776,1.71218,0.24781
2,20,0.60346,1.74536,0.24726
2,30,0.63084,1.78042,0.24697
2,40,0.64362,1.81745,0.24566
2,50,0.65316,1.84822,0.24307
2,60,0.64115,1.84335,0.24292
2,70,0.62288,1.83898,0.243
2,80,0.61128,1.84707,0.24225
2,90,0.60572,1.8462,0.24167
2,100,0.60367,1.83455,0.24067
2,110,0.60182,1.83233,0.2397
2,120,0.59425,1.8423,0.23926
2,130,0.58082,1.84654,0.23862
2,140,0.57658,1.84233,0.23755
2,150,0.5759,1.85924,0.2372
2,160,0.57117,1.88493,0.2374
2,170,0.57033,1.8842,0.23742
2,180,0.57118,1.86729,0.23849
2,190,0.56806,1.87243,0.2412
3,0,0.5602,1.88101,0.24439
3,10,0.58257,1.87278,0.24697
3,20,0.60589,1.86692,0.2484
3,30,0.63373,1.86687,0.24931
3,40,0.65713,1.86671,0.2491
3,50,0.68275,1.86827,0.2481
3,60,0.68037,1.86789,0.2466
3,70,0.67613,1.86476,0.24545
3,80,0.68147,1.87408,0.24388
3,90,0.68904,1.88981,0.2432
3,100,0.70105,1.88854,0.24259
3,110,0.71596,1.87568,0.242
3,120,0.72547,1.89573,0.24289
3,130,0.71311,1.94577,0.24475
3,140,0.69355,1.9635,0.24587
3,150,0.65278,1.95207,0.24611
3,160,0.61221,1.96385,0.24687
3,170,0.59181,1.96918,0.24705
3,180,0.58367,1.93969,0.24583
3,190,0.5675,1.90887,0.24428
4,0,0.55824,1.90516,0.24381
4,10,0.55682,1.92596,0.24454
4,20,0.549,1.94969,0.2453
4,30,0.54511,1.96429,0.24603
4,40,0.56234,1.97515,0.24675
4,50,0.58183,1.98572,0.24738
4,60,0.58943,1.9688,0.24691
4,70,0.58689,1.93629,0.24567
4,80,0.57072,1.91141,0.24569
4,90,0.54811,1.90616,0.24592
4,100,0.53137,1.90575,0.24622
4,110,0.52714,1.89849,0.24686
4,120,0.53046,1.88428,0.24707
4,130,0.53894,1.86333,0.24748
4,140,0.544,1.84708,0.24777
4,150,0.5348,1.83915,0.24816
4,160,0.51087,1.83754,0.24801
4,170,0.48165,1.83841,0.24838
4,180,0.46022,1.83802,0.2483
4,190,0.45003,1.83443,0.24842
5,0,0.45882,1.82679,0.24866
5,10,0.46948,1.83143,0.24965
5,20,0.46834,1.83981,0.25098
5,30,0.46707,1.85086,0.25165
5,40,0.46192,1.85806,0.25241
5,50,0.46164,1.85888,0.25288
5,60,0.47025,1.84861,0.2524
5,70,0.49738,1.83401,0.25132
5,80,0.51568,1.82476,0.25038
5,90,0.51859,1.82678,0.24946
5,100,0.50708,1.84143,0.24891
5,110,0.48684,1.85506,0.2481
5,120,0.46656,1.86663,0.2476
5,130,0.45556,1.86652,0.24803
5,140,0.47474,1.85603,0.248
5,150,0.50022,1.84205,0.24822
5,160,0.524,1.84076,0.2486
5,170,0.53149,1.84944,0.24972
5,180,0.53003,1.86555,0.24997
5,190,0.51195,1.87233,0.25012
6,0,0.49052,1.87212,0.2497
6,10,0.48206,1.85818,0.25073
6,20,0.49121,1.84415,0.25079
6,30,0.50467,1.83873,0.25103
6,40,0.51356,1.85097,0.25129
6,50,0.50972,1.86656,0.25154
6,60,0.49203,1.87594,0.25069
6,70,0.45723,1.86798,0.25022
6,80,0.42734,1.84935,0.24997
6,90,0.41054,1.82821,0.25035
6,100,0.41655,1.81481,0.25111
6,110,0.42925,1.81778,0.25191
6,120,0.44438,1.83843,0.25241
6,130,0.4483,1.85847,0.2528
6,140,0.43745,1.86603,0.25298
6,150,0.42656,1.85655,0.25297
6,160,0.42262,1.83245,0.25279
6,170,0.43091,1.80244,0.25286
6,180,0.44683,1.78129,0.25347
6,190,0.46423,1.77844,0.25399
7,0,0.46422,1.78743,0.25483
7,10,0.45458,1.80407,0.25625
7,20,0.43596,1.81652,0.25796
7,30,0.4342,1.8222,0.25917
7,40,0.46408,1.81101,0.26066
7,50,0.51214,1.79381,0.26134
7,60,0.56062,1.77157,0.26161
7,70,0.59393,1.75362,0.2612
7,80,0.59199,1.73941,0.26085
7,90,0.56086,1.73401,0.26009
7,100,0.52585,1.73253,0.25964
7,110,0.50682,1.73807,0.25901
7,120,0.51927,1.74523,0.25895
7,130,0.56102,1.7533,0.25851
7,140,0.60983,1.76003,0.25864
7,150,0.64598,1.76541,0.25905
7,160,0.65523,1.76348,0.25877
7,170,0.63637,1.7552,0.25859
7,180,0.59094,1.74453,0.25841
7,190,0.53919,1.7369,0.2576
8,0,0.50118,1.72965,0.25608
8,10,0.4898,1.73045,0.2559
8,20,0.50837,1.74152,0.25536
8,30,0.55199,1.75972,0.2554
8,40,0.60317,1.77016,0.25545
8,50,0.64619,1.77113,0.25582
8,60,0.66879,1.76451,0.25585
8,70,0.66621,1.7577,0.25656
8,80,0.64161,1.75349,0.25697
8,90,0.6088,1.76522,0.25793
8,100,0.56809,1.78384,0.25977
8,110,0.5336,1.80178,0.26126
8,120,0.5107,1.80451,0.26215
8,130,0.5105,1.79293,0.26232
8,140,0.52257,1.76872,0.26188
8,150,0.54805,1.7527,0.25984
8,160,0.57006,1.75132,0.25738
8,170,0.58991,1.76694,0.25447
8,180,0.59556,1.79674,0.2522
8,190,0.58844,1.83726,0.24981
9,0,0.57742,1.86925,0.24861
9,10,0.57049,1.89139,0.24836
9,20,0.56031,1.89456,0.24875
9,30,0.55144,1.87962,0.24925
9,40,0.5471,1.85864,0.25144
9,50,0.54453,1.85441,0.2541
9,60,0.5415,1.86545,0.25657
9,70,0.54192,1.90444,0.25973
9,80,0.5423,1.95942,0.26236
9,90,0.53913,1.99894,0.26364
9,100,0.53309,2.01046,0.2639
9,110,0.52266,1.99204,0.2631
9,120,0.51324,1.95264,0.26068
9,130,0.50665,1.91562,0.25906
9,140,0.50713,1.89994,0.25722
9,150,0.50676,1.89854,0.25584
9,160,0.51175,1.91322,0.25562
9,170,0.51399,1.92803,0.25573
9,180,0.51567,1.92575,0.25566
9,190,0.51002,1.90657,0.25595
10,0,0.50521,1.88457,0.25618
10,10,0.50678,1.86412,0.2557
10,20,0.51078,1.85138,0.25614
10,30,0.51415,1.84974,0.2566
10,40,0.52042,1.86091,0.25706
10,50,0.52319,1.87438,0.25669
10,60,0.51206,1.88468,0.25719
10,70,0.4979,1.88544,0.2571
10,80,0.48756,1.87769,0.25664
10,90,0.48665,1.86416,0.25523
10,100,0.49306,1.85126,0.25516
10,110,0.51059,1.83912,0.25393
10,120,0.5253,1.83935,0.253
10,130,0.52994,1.85181,0.25228
10,140,0.52065,1.86634,0.25224
10,150,0.5112,1.87731,0.25156
10,160,0.49795,1.87661,0.25102
10,170,0.48834,1.86522,0.25065
10,180,0.48251,1.84559,0.25001
10,190,0.47785,1.83117,0.2502
11,0,0.4785,1.82452,0.25052
11,10,0.48091,1.83172,0.25243
11,20,0.48885,1.84551,0.25387
11,30,0.50214,1.85746,0.25564
11,40,0.5236,1.85527,0.25667
11,50,0.53804,1.83941,0.25654
11,60,0.54675,1.81471,0.25466
11,70,0.54705,1.79133,0.2526
11,80,0.54499,1.77942,0.25012
11,90,0.53637,1.79144,0.24741
11,100,0.52836,1.8248,0.24612
11,110,0.52952,1.85998,0.24475
11,120,0.53798,1.87455,0.24272
11,130,0.54354,1.86301,0.24065
11,140,0.54897,1.83999,0.23933
11,150,0.54625,1.82343,0.23953
11,160,0.53383,1.83183,0.24066
11,170,0.5133,1.87512,0.24437
11,180,0.49799,1.93136,0.24805
11,190,0.49073,1.96084,0.25162
12,0,0.48956,1.95847,0.2534
12,10,0.49521,1.93452,0.25461
12,20,0.50944,1.89405,0.25469
12,30,0.51975,1.8788,0.25506
12,40,0.5266,1.89693,0.25524
12,50,0.53229,1.92623,0.25485
12,60,0.52595,1.9463,0.25388
12,70,0.50999,1.94768,0.25202
12,80,0.49686,1.91986,0.24962
12,90,0.48481,1.88069,0.24733
